,AUD,BGN,BRL,CAD,CHF,CNY,CYP,CZK,DKK,EEK,EUR,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,LTL,LVL,MTL,MXN,MYR,NOK,NZD,PHP,PLN,ROL,RON,RUB,SEK,SGD,SIT,SKK,THB,TRL,TRY,ZAR
1999,1.5141,,,1.4633,1.534,,0.55617,35.655,7.1499,15.057,0.96228,0.62558,7.7585,,240.38,,,,74.528,120.54,1165.6,3.9996,0.59767,0.40695,,,7.8801,1.8694,,3.9374,15754.0,,,8.5287,1.7107,188.66,43.732,,414290.0,,6.098
2000,1.6647,,,1.4711,1.643,,0.6034,37.927,7.8336,16.429,1.05,0.66317,7.7937,,272.67,,,,76.354,105.96,1114.7,3.999,0.59796,0.43144,,,8.635,2.1325,,4.4113,21023.0,,,8.6476,1.7226,217.31,44.216,,614130.0,,6.95
2001,1.8963,2.2481,,1.529,1.7611,,0.66387,39.252,8.6071,18.064,1.1545,0.71,7.7991,,284.17,,,,104.78,120.92,1292.0,3.9992,0.63011,0.46017,,,9.2334,2.3897,,3.9387,28929.0,,,10.575,1.8115,251.42,49.517,,1189100.0,,7.9976
2002,1.7641,2.0551,,1.5455,1.5564,,0.61228,32.071,7.8467,16.509,1.0551,0.67736,7.8,,255.29,,,,89.523,124.24,1226.1,3.6425,0.61342,0.43459,,,7.8239,2.0514,,4.0322,33455.0,,,9.6712,1.7873,238.48,47.067,,1557300.0,,10.394
2003,1.5046,1.6564,,1.3468,1.3179,,0.49897,26.589,6.318,13.315,0.85099,0.6002,7.7991,,221.01,,,,73.713,117.81,1192.0,2.9379,0.56004,0.36525,,,6.9369,1.7287,,3.7707,32567.0,,,7.7168,1.733,198.89,35.185,,1414300.0,,7.834
2004,1.4628,1.6229,,1.3777,1.2596,,0.48328,26.346,6.1677,12.984,0.82981,0.55137,7.7978,,210.27,,,,72.392,111.2,1163.2,2.8652,0.54377,0.35275,,,6.8907,1.6044,,3.8024,33755.0,,,7.5923,1.7193,198.45,33.103,,1511800.0,,6.596
2005,1.3056,1.6205,,1.2476,1.275,8.2765,0.47576,24.814,6.1677,12.965,0.82857,0.55241,7.7748,6.0444,206.05,9607.3,,,66.112,109.42,1012.2,2.8609,0.57668,0.3557,,3.8008,6.5217,1.4074,55.265,3.3406,29959.0,,28.603,7.6759,1.676,198.37,31.751,40.95,,1.378,6.8698
2006,1.3543,1.551,,1.1138,1.2309,8.0,0.45599,22.461,5.9117,12.408,0.79302,0.54104,7.7615,5.7557,215.31,9382.2,,,75.353,114.86,959.64,2.7381,0.55194,0.34044,,3.652,6.2232,1.604,53.135,3.2004,,2.7948,27.033,7.3565,1.5902,190.05,30.143,38.407,,1.5904,6.851
2007,1.1959,1.469,,1.0635,1.245,7.6251,0.43826,21.471,5.5926,11.752,0.75109,0.5077,7.8188,5.5186,189.04,9045.4,,,62.784,123.49,928.35,2.5934,0.52298,0.32244,,3.4575,6.0789,1.3291,46.35,2.8627,,2.431,26.039,7.0805,1.5427,,25.675,32.506,,1.3225,7.1872
2008,1.069,1.2753,1.6387,1.0268,1.0507,6.9021,,15.777,4.8622,10.203,0.65206,0.51405,7.8136,4.7248,161.38,9310.1,,,79.656,108.27,1044.5,2.2514,0.46035,,10.383,3.2775,5.2491,1.3401,44.515,2.2092,,2.394,23.82,6.1065,1.3811,,19.757,33.215,,1.2585,8.1723
2009,1.248,1.4121,1.9387,1.1329,1.091,6.8364,,19.378,5.3765,11.297,0.72202,0.6117,7.7502,5.2238,202.45,10173.0,,47.715,,98.253,1257.8,2.493,0.50794,,13.5,3.5286,6.43,1.5851,48.414,3.2679,,3.0469,31.245,7.8224,1.4578,,,34.19,,1.5479,8.0578
2010,1.1667,1.5955,1.8055,1.0303,1.1419,6.8331,,20.936,6.0676,12.765,0.81579,0.67874,7.7908,5.8843,228.5,9188.3,,46.526,,91.181,1228.4,2.8168,0.57726,,12.656,3.2661,6.4052,1.4413,46.543,3.3231,,3.4555,31.392,7.8492,1.3958,,,32.394,,1.5758,7.6884
2011,0.93668,1.3685,1.5895,0.96991,0.85111,6.4822,,16.943,5.2191,,0.69969,0.61552,7.7883,5.1774,186.01,8548.8,3.4228,44.76,,80.842,1083.4,2.4159,0.49601,,11.842,3.037,5.4716,1.2296,43.507,2.7575,,2.9191,27.951,6.4009,1.2344,,,30.53,,1.5961,6.8032
2012,0.99746,1.5527,2.0581,1.0242,0.95348,6.3717,,20.318,5.8997,,0.7939,0.64457,7.7598,5.994,235.5,9418.9,3.8632,55.413,,78.787,1164.1,2.7412,0.55327,,13.92,3.163,5.9733,1.2739,42.305,3.4125,,3.5433,32.5,7.0144,1.2732,,,31.48,,1.8188,8.3852
2013,1.0404,1.4702,2.1275,1.0166,0.92626,6.1308,,19.332,5.6064,,0.75171,0.64008,7.7622,5.6166,219.06,9877.5,3.6017,57.535,,94.994,1126.5,2.5955,0.52748,,12.66,3.1155,5.7434,1.238,42.769,3.1833,,3.3517,31.756,6.4719,1.2507,,,30.58,,1.8548,9.9263
2014,1.065,1.4451,2.238,1.0849,0.89981,6.2079,,20.275,5.5112,,0.73888,0.58955,7.7516,5.5996,226.54,11795.0,3.4549,59.785,,102.02,1019.4,2.5512,,,13.008,3.2197,6.0038,1.1552,43.876,3.049,,3.2475,34.432,6.6671,1.2503,,,32.406,,2.1244,10.772
2015,1.2895,1.7434,3.1319,1.2342,0.93707,6.209,,24.317,6.6498,,0.89142,0.64486,7.7529,6.753,279.28,13329.0,3.8427,64.167,,123.5,1117.4,,,,15.446,3.7605,7.7661,1.431,45.226,3.7059,,4.0007,54.828,8.1815,1.3467,,,33.712,,2.7401,12.424
2016,1.3524,1.7416,3.4679,1.2857,0.96322,6.581,,24.108,6.6212,,0.89047,0.70488,7.7615,6.7033,279.48,13367.0,3.8763,67.112,,106.22,1172.0,,,,18.877,4.101,8.3183,1.4224,46.333,3.9287,,4.039,65.663,8.3295,1.3549,,,35.264,,2.9301,15.229
2017,1.3185,1.7516,3.2741,1.3278,0.97385,6.805,,23.476,6.6595,,0.89558,0.78488,7.8021,6.6317,275.65,13318.0,3.5225,64.609,,110.11,1131.2,,,,18.075,4.2675,8.4827,1.3886,49.845,3.7723,,4.1101,57.602,8.712,1.3831,,,33.99,,3.5166,12.871
